"","id","issue_year"
"1",4136359,1979
"2",4229761,1980
"3",4237224,1980
"4",4363877,1982
"5",4371752,1983
"6",4399216,1983
"7",4437122,1984
"8",4464652,1984
"9",4468464,1984
"10",4590598,1986
"11",4634665,1987
"12",4683195,1987
"13",4683202,1987
"14",4736866,1988
"15",4744360,1988
"16",4816397,1989
"17",4816567,1989
"18",4838644,1989
"19",4889818,1989
"20",4965188,1990
"21",5061620,1991
"22",5071161,1991
"23",5108388,1992
"24",5149636,1992
"25",5179017,1993
"26",5184830,1993
"27",5194299,1993
"28",5225539,1993
"29",5272628,1993
"30",5747282,1998
"31",5770429,1998
"32",5837492,1998
"33",5939598,1999
"34",5960411,1999
"35",6230409,2001
"36",6285999,2001
"37",6331415,2001
